Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Europe & Central Asia,Sweden,2017,EXPIMP,Food Products,5665404.83,2936337.87,4.83,2.82,,,,29.26,18.99,2824,17.6,44.87,4,33.53,3000,0,8214.79,399828.27,346686.61,35.88,26.64,2824,34.17,23.41,4.14,38.28,3000,0,8631.25,438340.31,308174.57
Europe & Central Asia,Eswatini,2017,EXPIMP,Food Products,3387.96,76690.57,5.66,67.1,,,,1.42,0.02,1439,0.97,85.89,1.53,11.61,207.77,0,0.43,90.99,74977.37,34.64,75.46,1439,40.72,2.15,5.84,51.29,207.77,0,3106.84,75023.91,44.44
Europe & Central Asia,Saint Maarten (Dutch part),2017,EXPIMP,Food Products,30468.38,56.74,22.97,0.08,,,,0,0,163,0,100,0,0,0,0,0,0,54.44,8.48,3.38,163,30.67,12.88,24.54,31.9,44.77,0,9.06,37.55,16.89
Europe & Central Asia,Seychelles,2017,EXPIMP,Food Products,29687.72,258198.87,7.59,71.24,,,,0.24,0.01,639,1.56,94.05,0,4.38,9.38,0,0,341.05,258945.68,13.07,23.99,639,80.44,6.26,6.42,6.89,25,0,29.76,259183.31,103.42
Europe & Central Asia,Syrian Arab Republic,2017,EXPIMP,Food Products,408793.9,7456.13,14.96,3.1,,,,12.92,11.86,4835,47.65,6.25,9.12,36.98,252.27,0,2782.46,7407.47,500.89,17.87,16.92,4835,51.35,2.05,9.37,37.23,252.27,0,2782.46,7880.19,28.17
Europe & Central Asia,Turks and Caicos Isl.,2017,EXPIMP,Food Products,3910.18,2133.12,22.24,51.26,,,,0,0,138,0,100,0,0,0,0,0,0,2132.27,8.1,0.48,138,49.28,13.77,8.7,28.26,44.77,0,0.08,72.41,2059.86
Europe & Central Asia,Chad,2017,EXPIMP,Food Products,35907.09,2.92,17.77,0,,,,0,0,10,0,100,0,0,0,0,0,0,2.92,0,0,10,0,50,50,0,0,0,0,0,2.91
Europe & Central Asia,Togo,2017,EXPIMP,Food Products,129962.22,17231.21,5.41,16.68,,,,0.06,0.01,706,0.42,99.43,0.14,0,12.8,0,0.67,260.14,19184.09,13.11,0.43,706,48.3,9.77,10.48,31.44,264.59,0,43.55,661.99,18782.24
Europe & Central Asia,Thailand,2017,EXPIMP,Food Products,698333.44,2724351.42,3.22,7.48,,,,16.73,33.46,22968,56.49,5.08,7.51,30.91,708.23,0,268079.13,2578067.51,124238.85,20.16,34.79,22968,56.52,4.35,7.51,31.62,3000,0,268079.13,2661055.66,41250.7
Europe & Central Asia,Tajikistan,2017,EXPIMP,Food Products,189197.61,624,10.52,0.07,,,,1.67,0.02,560,2.14,91.61,2.32,3.93,55.83,0,0.98,1.2,611.63,10.01,7.17,560,51.96,4.64,22.68,20.71,55.83,0,35.04,612.82,0
Europe & Central Asia,Tokelau,2017,EXPIMP,Food Products,10.32,1711.49,0.12,21.02,,,,16.85,12.88,146,56.16,2.05,26.03,15.75,51.71,0,102.87,1257.88,482.66,16.85,12.88,146,56.16,2.05,26.03,15.75,51.71,0,102.87,1257.88,482.66
Europe & Central Asia,Turkmenistan,2017,EXPIMP,Food Products,203184.69,815.67,7.23,0.06,,,,1.66,0.05,176,2.27,84.09,0,13.64,94.81,0,0,3.53,656.79,8.77,6.37,176,17.61,8.52,34.66,39.2,103.94,0,247.55,660.3,0.02
Europe & Central Asia,East Timor,2017,EXPIMP,Food Products,2864.79,172.23,13.32,1.58,,,,0,0,139,0,100,0,0,0,0,0,0,172.23,23.26,14.21,139,64.75,2.88,7.91,24.46,74.44,0,29.43,172.23,0
Europe & Central Asia,Tonga,2017,EXPIMP,Food Products,247.94,131.06,5.51,13.55,,,,14.74,0.74,18,5.56,16.67,27.78,50,55.83,0,0.96,3.78,109.41,15,0.75,18,5.56,16.67,27.78,50,55.83,0,0.96,3.78,109.41
Europe & Central Asia,Trinidad and Tobago,2017,EXPIMP,Food Products,62817.15,23214.83,4.6,1.7,,,,1.86,0.11,854,5.97,79.63,0.82,13.58,102.91,0,84.85,856.84,21940.17,4.89,1.11,854,14.29,43.44,22.37,19.91,102.91,0,13558.52,18676.08,4120.94
Europe & Central Asia,Tunisia,2017,EXPIMP,Food Products,240788.93,77035.36,1.67,0.64,,,,19.86,6.41,5730,23.86,13.86,12.34,49.95,3000,0,12323.55,30398.59,22849.82,26.24,15.3,5730,34.03,3.12,12.65,50.19,3000,0,12323.55,52790.98,457.43
Europe & Central Asia,Turkey,2017,EXPIMP,Food Products,2338391.49,2536855.24,1.86,2.64,,,,9.33,3.83,26499,8.83,50.06,8.03,33.08,3000,0,462478.64,1219712.13,1298623.91,19.65,15.85,26499,46.81,4,9.42,39.77,3000,0,463998.81,2465534.98,52801.06
Europe & Central Asia,Tuvalu,2017,EXPIMP,Food Products,3.42,0.02,0.31,0,,,,0,0,2,0,100,0,0,0,0,0,0,0.02,30,30,2,100,0,0,0,30,30,0,0.02,0
Europe & Central Asia,Tanzania,2017,EXPIMP,Food Products,64095.75,212086.31,5.01,21.14,,,,1.65,2.28,825,5.09,88.36,0.73,5.82,76.78,0,1.8,49738.95,241767.73,13.81,8,825,21.7,5.21,13.7,59.39,103.94,0,27.03,269766.89,21739.79
Europe & Central Asia,Uganda,2017,EXPIMP,Food Products,23694.74,37174.53,3.58,6.48,,,,1.72,1.85,889,2.7,96.51,0.11,0.67,202.81,0,0.5,7772.32,31122.77,13.41,4.59,889,54.44,4.61,4.84,36.11,202.81,0,35.07,22073.27,16821.83
Europe & Central Asia,Ukraine,2017,EXPIMP,Food Products,1629966.43,2286444.09,4.29,7.3,,,,7.27,5.97,13575,6.28,71.57,4.29,17.86,3000,0,45684.76,422830.63,1084633.04,17.34,9.86,13575,34.88,6.78,14.33,44.01,3000,0,134627.29,872078.52,635385.16
Europe & Central Asia,United States Minor Outlying I,2017,EXPIMP,Food Products,287.47,49.01,8.54,2.76,,,,11.59,5.67,169,48.52,4.73,23.67,23.08,53.98,0,29.92,47.91,0,11.59,5.67,169,48.52,4.73,23.67,23.08,53.98,0,29.92,47.91,0
Europe & Central Asia,Unspecified,2017,EXPIMP,Food Products,1435712.37,985938.85,3.44,2.16,,,,17.29,17.32,13264,41.42,7.29,9.64,41.65,145.15,0,193582.49,577064.9,165823.31,17.29,17.32,13264,41.42,7.29,9.64,41.65,145.15,0,193582.49,577064.9,165823.31
Europe & Central Asia,Uruguay,2017,EXPIMP,Food Products,157528.11,94873.17,8.1,3.68,,,,14.08,3.57,6093,10.42,1.02,10.26,78.3,140.4,0,2406.35,14807.31,79521.53,14.62,3.58,6093,10.42,0.92,10.26,78.4,156,0,2406.35,14809,79519.85
Europe & Central Asia,United States,2017,EXPIMP,Food Products,19356048.08,5891623.69,4.03,1.6,,,,19.71,10.34,33065,40.21,7.77,9.35,42.66,3000,0,1851281.11,4484609.35,1295323.83,19.71,10.34,33065,40.21,7.77,9.35,42.66,3000,0,1851281.11,4484609.35,1295323.83
Europe & Central Asia,Uzbekistan,2017,EXPIMP,Food Products,269329.92,70067.58,3.65,1.01,,,,3.26,0.14,2219,10.91,58.09,4.78,26.23,133.09,0,397.6,587.77,62403.75,10.84,6.18,2219,40.47,3.11,15.86,40.56,133.09,0,17569.41,62991.52,0
Europe & Central Asia,Holy See,2017,EXPIMP,Food Products,4889.95,1.38,7.51,0.1,,,,30.01,30.01,12,8.33,16.67,0,75,55.83,0,0,1.38,0,30.01,30.01,12,8.33,16.67,0,75,55.83,0,0,1.38,0
Europe & Central Asia,St. Vincent and the Grenadines,2017,EXPIMP,Food Products,3269.73,142.98,4.72,0.13,,,,0.27,0.1,213,0,51.64,3.29,45.07,5.52,0,1.78,1.78,42.47,9.27,9.67,213,2.35,3.76,15.96,77.93,55.83,0,23.11,43.02,1.23
Europe & Central Asia,Venezuela,2017,EXPIMP,Food Products,50400.73,57785.27,4.61,2.95,,,,7.22,0.51,1053,13.01,21.37,34.76,30.86,204.75,0,46610.3,49476.61,8243.67,8.93,0.57,1053,13.3,19.94,34.76,32,204.75,0,46610.3,49791.3,7928.99
Europe & Central Asia,British Virgin Islands,2017,EXPIMP,Food Products,6690.62,1731.5,1,0.61,,,,1.89,0.08,148,0.68,93.24,0,6.08,72.65,0,0,6.69,2509.38,2.95,0.38,148,4.73,41.22,30.41,23.65,72.65,0,16.84,179.16,2336.91
Europe & Central Asia,Vietnam,2017,EXPIMP,Food Products,634426.36,918175.88,4.09,1.64,,,,12.49,8.74,13608,59.55,6.76,7.23,26.46,708.23,0,62203.06,841497.6,56154.16,20.03,16.82,13608,60.85,4.14,7.75,27.26,3000,0,67082.54,858708.96,38942.8
Europe & Central Asia,Vanuatu,2017,EXPIMP,Food Products,2766.77,3.14,16.28,0.05,,,,0.86,0.1,75,8,92,0,0,6,0,0,0.11,3.03,7,7.08,75,21.33,0,58.67,20,12.8,0.09,3.05,3.14,0
Europe & Central Asia, World,2017,EXPIMP,Food Products,294288850.2,267634214.4,4.37,4.06,,,,12.78,10.09,830381,23.64,36.66,7.14,32.56,3000,0,8968914.02,43790329.89,40954956.44,19.93,15.79,62138,48.83,7.14,0.51,2.79,3000,0,11590588.85,65345145.26,19400141.08
Europe & Central Asia,Samoa,2017,EXPIMP,Food Products,338.23,176.37,1.33,2.67,,,,24,0.28,327,0,66.06,2.14,31.8,160.11,0,3.16,3.46,172.92,42.49,24.93,327,27.22,0.61,4.89,67.28,160.11,0,3.16,176.37,0
Europe & Central Asia,Yemen,2017,EXPIMP,Food Products,220378.01,1455.59,14.34,1.35,,,,0,0,9,0,100,0,0,0,0,0,0,859.52,14.33,2.29,9,66.67,22.22,0,11.11,57.6,0,0,859.52,0
Europe & Central Asia,South Africa,2017,EXPIMP,Food Products,1131779.09,861320.23,4.01,2.89,,,,7.57,5.82,18631,14.38,42.42,6.22,36.97,708.23,0,441174.69,659063.68,181940.31,20.77,17.63,18631,34.99,4.98,8.7,51.33,3000,0,445131.97,792681.14,48322.84
"Europe & Central Asia,""Congo, Dem. Rep."",2017,EXPIMP,Food Products,94837.75,14789.1,9.49,1.69,,,,0.17,1.24,351,1.71,98.29,0,0,12.8,0,0,4798.18,10502.25,10.59,5.38,351,45.58,8.26,13.39,32.76,264.59,0,1648.58,6969.94,8330.49"
Europe & Central Asia,Zambia,2017,EXPIMP,Food Products,6641.5,41210.98,1.45,10.05,,,,8.29,6.42,294,10.88,85.37,0,3.74,96.13,0,0,8127.65,52370.26,15.58,12.85,294,15.65,4.42,0,79.93,96.13,0,0,60497.58,0.33
Europe & Central Asia,Zimbabwe,2017,EXPIMP,Food Products,7308.77,217039.93,2.88,37.51,,,,3.32,1.73,963,5.3,68.64,1.45,24.61,94.81,0,89.42,77348.6,176399.51,17.36,15.59,963,14.85,2.49,8.2,74.45,103.94,0,98.99,253748.05,0.06
Europe & Central Asia,East Asia & Pacific,2017,EXPIMP,Food Products,24222508.61,11646948.96,3.42,1.12,,,,14.17,17.09,164640,37.26,18.34,9.27,35.13,3000,0,2337438.46,9408813.94,1827408.97,18.91,21.07,42768,48.77,6.13,2,9.71,3000,0,2362580.72,10393297.92,842925
Europe & Central Asia,Europe & Central Asia,2017,EXPIMP,Food Products,217236857.2,214337396.9,4.63,4.8,,,,13.74,12.01,298042,20.56,42.93,5.71,30.8,3000,0,1936578.35,17488974.08,15186270.49,18.9,18.12,49577,47.61,7.23,1.35,6.16,3000,0,4051548.79,28774636.94,3900607.63
Europe & Central Asia,Latin America & Caribbean,2017,EXPIMP,Food Products,4904665.77,19082225.37,3.31,12.94,,,,7.57,7.71,118174,12.9,45.44,6.68,34.99,3000,0,1719299.41,7913681.09,10769169.53,18.75,13.91,32853,42.53,6.93,2.28,11.76,3000,0,1948842.83,11106798.17,7576052.45
Europe & Central Asia,Middle East & North Africa,2017,EXPIMP,Food Products,15270408.63,2218724.37,4.46,1.09,,,,12.25,4.83,82098,18.8,44.56,7.86,28.79,3000,0,172038.23,492739.87,1157692.16,20.57,19.11,28895,43.87,4.85,3.51,14.54,3000,0,238014.41,1561493.06,88938.97
Europe & Central Asia,North America,2017,EXPIMP,Food Products,22544407.39,6749080.76,4.26,1.64,,,,18.96,10.95,49308,38.33,8.91,10.07,42.69,3000,0,1965247.45,5206037.72,1410928.77,19.74,10.97,34357,41.14,7.65,6.33,29.35,3000,0,1973400.04,5216633.73,1400332.75
Europe & Central Asia,South Asia,2017,EXPIMP,Food Products,1125477.92,1813929.35,1.17,1.71,,,,10.08,9.46,37433,24.95,35.29,8.03,31.74,708.23,0,177837.84,1319860.68,496431.62,19.84,15.09,21487,47.05,5.18,5.29,22.12,3000,0,206879.77,1576717.2,239575.11
Europe & Central Asia,Sub-Saharan Africa,2017,EXPIMP,Food Products,5554257.57,10593388.35,6.56,12,,,,4.34,1.26,55092,7.98,64.25,3.93,23.84,708.23,0,442823.24,1223428.85,9922900.93,19.55,9.29,24890,39.54,5.16,3.76,21.22,3000,0,591222.54,5976412.57,5169917.21
